Date,Description,Amount,Type
2024-03-01,Salary Deposit,2500.00,income
2024-03-02,Albert Heijn,-45.30,expense
2024-03-03,Netflix,-15.99,expense
2024-03-04,Cafe Dudok,-12.50,expense
2024-03-05,NS Treinreizen,-89.00,expense
2024-03-06,Thuisbezorgd,-22.80,expense
2024-03-07,Shell Benzinestation,-60.00,expense
2024-03-08,Gym Membership,-29.99,expense
2024-03-10,Albert Heijn,-38.75,expense
2024-03-11,H&M Online,-55.00,expense
2024-03-12,Spotify,-9.99,expense
2024-03-13,Cafe De Unie,-18.40,expense
2024-03-14,Thuisbezorgd,-31.50,expense
2024-03-15,Freelance Payment,400.00,income
2024-03-16,Coolblue Electronics,-129.00,expense
2024-03-17,Albert Heijn,-52.10,expense
2024-03-18,Kinepolis Cinema,-24.00,expense
2024-03-19,NS Treinreizen,-45.00,expense
2024-03-20,Zalando,-79.95,expense
2024-03-21,Thuisbezorgd,-19.90,expense
2024-03-22,Albert Heijn,-41.20,expense
2024-03-23,Gym Membership,-29.99,expense
2024-03-24,Cafe Blaak,-14.75,expense
2024-03-25,Ziggo Internet,-49.00,expense
2024-03-26,Albert Heijn,-36.80,expense
2024-03-27,Thuisbezorgd,-27.60,expense
2024-03-28,Bakkerij,-8.50,expense
2024-03-29,NS Treinreizen,-35.00,expense
2024-03-30,Albert Heijn,-44.90,expense
2024-03-31,Rent Payment,-850.00,expense
2024-04-01,Salary Deposit,2500.00,income
2024-04-02,Albert Heijn,-49.30,expense
2024-04-03,Netflix,-15.99,expense
2024-04-04,Thuisbezorgd,-24.50,expense
2024-04-05,NS Treinreizen,-55.00,expense
2024-04-06,Cafe Dudok,-16.80,expense
2024-04-07,Shell Benzinestation,-58.00,expense
2024-04-08,Gym Membership,-29.99,expense
2024-04-09,Albert Heijn,-43.60,expense
2024-04-10,Bol.com,-34.99,expense
2024-04-11,Spotify,-9.99,expense
2024-04-12,Thuisbezorgd,-21.30,expense
2024-04-13,Albert Heijn,-38.90,expense
2024-04-15,Freelance Payment,600.00,income
2024-04-16,H&M,-65.00,expense
2024-04-17,NS Treinreizen,-45.00,expense
2024-04-18,Kinepolis Cinema,-24.00,expense
2024-04-19,Albert Heijn,-47.20,expense
2024-04-20,Thuisbezorgd,-33.00,expense
2024-04-21,Cafe De Unie,-19.50,expense
2024-04-22,Gym Membership,-29.99,expense
2024-04-23,Albert Heijn,-40.10,expense
2024-04-24,Ziggo Internet,-49.00,expense
2024-04-25,Thuisbezorgd,-28.70,expense
2024-04-26,NS Treinreizen,-35.00,expense
2024-04-27,Albert Heijn,-52.40,expense
2024-04-28,Bakkerij,-9.50,expense
2024-04-29,Cafe Blaak,-13.20,expense
2024-04-30,Rent Payment,-850.00,expense
